First Bank ,11,161
Citibank Nigeria,23,161
Heritage Bank,30,161
Union Bank,32,161
UBA ,33,161
Wema Bank,35,161
Access Bank,44,161
EcoBank,50,161
Zenith Bank,57,161
Guaranty Trust Bank,58,161
Standard Chartered,68,161
Fidelity Group,70,161
Polaris Bank Ltd,76,161
Keystone Bank,82,161
Enterprise Bank,84,161
Suntrust Bank,100,161
Providus Bank,101,161
Titan Trust Bank,102,161
Globus Bank,103,161
First City Monument Bank,214,161
Unity Bank,215,161
Stanbic IBTC Bank,221,161
Sterling Bank ,232,161
Jaiz Bank ,301,161
Taj Bank,302,161
FSDH Merchant Bank,501,161
Coronation Bank,559,161
FBNQuest Merchant Bank,560,161
Nova Merchant Bank,561,161
ADS Canadian Bank,,39
B2B Bank,,39
Bank of Montreal,,39
Bank of Nova Scotia,,39
Bridgewater Bank,,39
Caisse Populaire Acadienne ltée,,39
Canadian Imperial Bank of Commerce,,39
Canadian Tire Bank,,39
Canadian Western Bank,,39
Coast Capital Savings,,39
Concentra Bank,,39
CS Alterna Bank,,39
Digital Commerce Bank,,39
Duo Bank of Canada,,39
EQ Bank,,39
Exchange Bank of Canada,,39
First Nations Bank of Canada,,39
General Bank of Canada,,39
Haventree Bank,,39
Home Bank,,39
HomeEquity Bank,,39
Laurentian Bank of Canada,,39
Manulife Bank of Canada,,39
Motus Bank,,39
National Bank of Canada,,39
Peoples Bank of Canada,,39
President's Choice Bank,,39
RFA Bank of Canada,,39
Rogers Bank,,39
Royal Bank of Canada,,39
Tangerine Bank,,39
Toronto-Dominion Bank,,39
Vancity Community Investment Bank,,39
VersaBank,,39
Wealth One Bank of Canada,,39